zcr,spectral_c,rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
59810,1996.3291884611144,4227.868737311485,-116.62626,109.25263,-23.163752,40.67948,-11.888836,23.152943,-15.409277,15.1249895,-13.522578,12.695887,-10.871556,8.497991,-11.577596,2.1976974,-6.180506,1.9899799,-7.9558887,2.0833836,-2.3929138,-1.5417932,rock
36427,1529.2908080861932,3271.448122099768,-111.25285,134.15211,-24.65805,41.542343,-3.0750806,28.475187,-10.599551,14.917008,-14.410271,8.844091,-4.5479774,9.940146,-4.680241,3.6218278,-5.5554714,3.3616462,-4.9562955,-1.4779109,0.089315675,-5.3481984,rock
50935,1875.1802162587353,3929.4931504676624,-120.445526,117.5898,-27.635338,42.838066,-6.757944,21.642138,-12.10304,17.95223,-10.473286,12.275668,-6.5690436,13.523022,-2.420074,6.712717,-3.1554117,5.4701724,-2.2356622,1.0611793,-1.654424,-0.035615217,rock
28563,1421.3550410893215,3042.7015547962587,-156.54553,130.7242,-1.480792,36.234592,0.3509126,31.955034,-0.6218729,20.156782,-11.339355,13.855699,-3.7898722,11.537828,-3.2142534,5.058525,-1.7850621,3.542804,-2.4448645,-0.73302484,-1.4241275,0.6442886,rock
27231,1345.8413833729003,2939.1573239921695,-127.97042,134.44084,1.0205101,54.43924,-0.4544707,35.814583,-10.856743,16.386305,-10.0327215,6.5924654,-6.6975994,11.041861,-8.380609,2.1077473,-6.3462076,0.9917486,-5.3233166,-0.8430055,-4.661474,-4.788684,rock
51050,1542.1092954403396,2869.7864364305397,-62.36485,153.79042,-55.13121,28.010103,-6.850295,17.463839,-22.614672,18.14102,-12.584327,4.502157,-8.390483,7.216679,-2.523249,4.844655,-6.275708,-0.71447897,-2.277512,-5.244769,-5.225095,-6.276886,rock
57872,1676.146047974431,3255.327363689095,-98.38649,136.57487,-46.71402,46.476673,-17.15201,10.547506,-14.580566,16.55133,-12.312679,3.7018619,-12.647758,2.951305,-12.505246,0.10987201,-0.78190804,-5.688852,-8.629558,-1.8903698,-2.1854918,-3.397589,rock
31267,1282.1973338530784,2675.912666763341,-140.46417,149.30049,-10.073525,38.784744,1.5350952,20.120266,-11.34188,16.292198,-13.255261,10.183559,-9.257683,4.6997657,-8.370977,2.2718363,-6.509604,-1.6324768,-6.4886813,-4.7097774,-2.5701594,-1.7915926,rock
56293,1717.0993094173925,3362.1523686738688,-14.946681,138.44057,-41.902416,22.075436,-18.676533,32.004406,-20.370274,15.703648,-17.348824,14.874468,-8.903126,12.260919,-5.8288655,9.972276,-3.1722856,1.9803573,-6.9255514,3.12534,-2.9862368,-6.6731334,rock
28189,1181.3266069695658,2367.3450301805397,-178.60347,154.00502,-4.958517,21.928644,-2.0540268,23.674204,-1.284849,11.562133,-6.0270863,4.947251,-2.940482,5.409077,-4.123982,2.9835277,-5.321567,-8.830944,-11.077198,-3.2063417,3.858218,3.5543106,rock
47534,1857.9725986066064,4191.671972429669,-108.94804,114.95368,-5.2112894,46.19136,-9.136669,20.517895,-17.024096,24.221981,-8.050692,13.43937,-18.37755,8.584026,-11.401218,1.8885926,-10.55389,-0.25589052,-11.79859,-6.499075,-4.3038983,-2.7363355,rock
